Row_num,randread-512k,randread-512k,randread-512k,randread-512k,randread-512k,randwrite-512k,randwrite-512k,randwrite-512k,randwrite-512k,randwrite-512k,read-512k,read-512k,read-512k,read-512k,read-512k,write-512k-seq,write-512k-seq,write-512k-seq,write-512k-seq,write-512k-seq
,bw,clat,iops,lat,slat,bw,clat,iops,lat,slat,bw,clat,iops,lat,slat,bw,clat,iops,lat,slat
,Read,Read,Read,Read,Read,Write,Write,Write,Write,Write,Read,Read,Read,Read,Read,Write,Write,Write,Write,Write
70,2283.28,0.01,4566.0,0.22,0.2,474.0,0.83,948.0,1.05,0.22,2357.5,0.02,4715.0,0.21,0.19,432.0,0.95,864.0,1.15,0.2
71,2277.0,0.02,4554.0,0.22,0.2,467.97,0.85,935.0,1.07,0.22,2332.83,0.02,4665.0,0.21,0.2,439.0,0.94,878.0,1.14,0.19
72,2270.77,0.01,4541.0,0.22,0.2,438.0,0.92,876.0,1.14,0.22,2362.0,0.02,4724.0,0.21,0.19,442.44,0.93,884.0,1.13,0.2
73,2373.0,0.02,4746.0,0.21,0.19,425.93,0.96,851.0,1.17,0.21,2396.0,0.01,4792.0,0.21,0.19,436.0,0.94,872.0,1.14,0.2
74,2278.28,0.02,4556.0,0.22,0.2,410.41,1.0,820.0,1.21,0.21,2391.5,0.02,4783.0,0.21,0.19,446.45,0.92,892.0,1.12,0.2
75,2294.5,0.02,4589.0,0.22,0.2,389.39,1.07,778.0,1.28,0.21,2321.32,0.02,4642.0,0.21,0.2,438.0,0.94,876.0,1.14,0.2
76,2228.23,0.02,4456.0,0.22,0.21,388.89,1.05,777.0,1.29,0.24,2341.5,0.02,4683.0,0.21,0.2,417.0,1.0,834.0,1.2,0.2
77,2338.5,0.02,4677.0,0.21,0.2,345.15,1.44,690.0,1.66,0.22,2170.0,0.01,4340.0,0.23,0.22,418.5,0.99,837.0,1.19,0.2
78,2266.5,0.02,4533.0,0.22,0.2,335.33,1.05,670.0,1.26,0.21,2365.5,0.01,4731.0,0.21,0.19,438.94,0.94,877.0,1.14,0.2
79,2260.76,0.02,4521.0,0.22,0.2,399.4,1.04,798.0,1.25,0.21,2331.5,0.02,4663.0,0.21,0.19,428.43,0.96,856.0,1.16,0.2
80,2234.0,0.02,4468.0,0.22,0.21,407.0,1.01,814.0,1.23,0.21,2280.28,0.02,4560.0,0.22,0.2,442.44,0.93,884.0,1.13,0.2
81,2207.5,0.02,4415.0,0.22,0.21,398.9,1.04,797.0,1.25,0.21,2364.0,0.01,4728.0,0.21,0.19,452.0,0.91,904.0,1.11,0.2
